ID,nei_sensing,lit_sensing,rVel,turn_prob,turn_prob_max,turn_prob_min,abandon_prob,capacity,umin,umax,n_stddev,n_mean,escape_dist,call_scale,repel_scale,log_rate,max_step_size, 
0,2,2,10,0.002,0.002,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,1,0.01,0.02, 
1,2,2,10,0.002,0.1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02, 
2,3,2,10,0.002,0.1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02, 
3,4,2,10,0.002,0.1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02, 
4,2,2,10,0.002,0.5,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
5,3,2,10,0.002,0.5,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
6,4,2,10,0.002,0.5,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
7,2,2,10,0.002,1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
8,3,2,10,0.002,1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
9,4,2,10,0.002,1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
0,2,2,10,0.002,0.002,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,1,0.01,0.02, 
1,2,2,10,0.002,0.1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02, 
2,3,2,10,0.002,0.1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02, 
3,4,2,10,0.002,0.1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02, 
4,2,2,10,0.002,0.5,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
5,3,2,10,0.002,0.5,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
6,4,2,10,0.002,0.5,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
7,2,2,10,0.002,1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
8,3,2,10,0.002,1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
9,4,2,10,0.002,1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02,
0,2,2,10,0.002,0.002,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,1,0.01,0.02, 
1,2,2,10,0.002,0.1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02, 
2,3,2,10,0.002,0.1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02, 
3,4,2,10,0.002,0.1,0.002,0.5,3,0,1,1.5707963268,3.1415926536,1,1,2,0.01,0.02, 
