ID,com_model,cap_com,nei_sensing,lit_sensing,p_s2s,p_u2s,detectionDuration,FoV,rVel,turn_prob,turn_prob_max,turn_prob_min,abandon_prob,picking_lit_dur,capacity,umin,umax,n_stddev,n_mean,A0,Ae,alpha,noise_mean,noise_std,queue_size,filter_type,correction_mtd,escape_dist,call_scale_mult,call_scale_div,lit_threshold,repel_scale_mult,repel_scale_div,log_rate,max_step_size,x
N0-Q1-A0-R0m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,0,1,5,0.025,x
N0-Q1-A0-R10m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,10,1,5,0.025,x
N0-Q1-A0-R20m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,20,1,5,0.025,x
N0-Q1-A0-R30m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,30,1,5,0.025,x
N0-Q1-A0-R40m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,40,1,5,0.025,x
N0-Q1-A0-R50m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,50,1,5,0.025,x
N0-Q1-A0-R60m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,60,1,5,0.025,x
N0-Q1-A0-R70m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,70,1,5,0.025,x
N0-Q1-A0-R80m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,80,1,5,0.025,x
N0-Q1-A0-R90m,vector,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,0,1,5,90,1,5,0.025,x
