ID,com_model,cap_com,nei_sensing,lit_sensing,p_s2s,p_u2s,detectionDuration,FoV,rVel,turn_prob,turn_prob_max,turn_prob_min,abandon_prob,picking_lit_dur,capacity,umin,umax,n_stddev,n_mean,A0,Ae,alpha,noise_mean,noise_std,queue_size,filter_type,correction_mtd,escape_dist,call_scale_mult,call_scale_div,lit_threshold,repel_scale_mult,repel_scale_div,log_rate,max_step_size,x
RW-pure-40Hz,soundv2,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-pure-40Hz,soundv2,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-pure-40Hz,soundv2,0,15,3,1,1,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-mSSD124-40Hz,soundv2,0,15,3,0.8268,0.0437,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-mSSD124-40Hz,soundv2,0,15,3,0.8268,0.0437,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-mSSD124-40Hz,soundv2,0,15,3,0.8268,0.0437,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-mSSD220-40Hz,soundv2,0,15,3,0.8547,0.0939,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-mSSD220-40Hz,soundv2,0,15,3,0.8547,0.0939,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-mSSD220-40Hz,soundv2,0,15,3,0.8547,0.0939,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-yolo3t128-40Hz,soundv2,0,15,3,0.832,0.0073,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-yolo3t128-40Hz,soundv2,0,15,3,0.832,0.0073,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-yolo3t128-40Hz,soundv2,0,15,3,0.832,0.0073,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-yolo3t224-40Hz,soundv2,0,15,3,0.8319,0.0186,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-yolo3t224-40Hz,soundv2,0,15,3,0.8319,0.0186,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-yolo3t224-40Hz,soundv2,0,15,3,0.8319,0.0186,0,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-mSSD124-4Hz,soundv2,0,15,3,0.8268,0.0437,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-mSSD124-4Hz,soundv2,0,15,3,0.8268,0.0437,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-mSSD124-4Hz,soundv2,0,15,3,0.8268,0.0437,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-mSSD220-4Hz,soundv2,0,15,3,0.8547,0.0939,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-mSSD220-4Hz,soundv2,0,15,3,0.8547,0.0939,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-mSSD220-4Hz,soundv2,0,15,3,0.8547,0.0939,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-yolo3t128-4Hz,soundv2,0,15,3,0.832,0.0073,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-yolo3t128-4Hz,soundv2,0,15,3,0.832,0.0073,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-yolo3t128-4Hz,soundv2,0,15,3,0.832,0.0073,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-yolo3t224-4Hz,soundv2,0,15,3,0.8319,0.0186,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-yolo3t224-4Hz,soundv2,0,15,3,0.8319,0.0186,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-yolo3t224-4Hz,soundv2,0,15,3,0.8319,0.0186,0.25,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-mSSD124-1Hz,soundv2,0,15,3,0.8268,0.0437,1,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
N0-Q1-mSSD124-1Hz,soundv2,0,15,3,0.8268,0.0437,1,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,10,10,5,10,10,0,0.025,x
N100-Q40-mSSD124-1Hz,soundv2,0,15,3,0.8268,0.0437,1,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0.0583,0.005,40,average_filter,none,1,10,10,5,10,10,0,0.025,x
RW-mSSD220-1Hz,soundv2,0,15,3,0.8547,0.0939,1,6.2831853072,10,0.0025,1,0.0025,0.5,5,5,0,1,1.5707963268,3.1415926536,299.1795,48.1824,0.1039,0,0,1,average_filter,none,1,1,1,5,1,1,0,0.025,x
